MAL_ID,Name,Score,Genres,sypnopsis
39,A Game of Thrones,8.9,"Narrativa, Literatura popular",Obra de George R.R. Martin incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
40,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",7.02,"Memoria, Biografía, Testimonio",Libro real firmado por Elizabeth Gilbert. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
41,The Lightning Thief,8.46,"Terror, Suspense, Drama",Obra real de Rick Riordan. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
42,Little Women,8.08,"Narrativa, Literatura popular","Libro real de Louisa May Alcott, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
43,Jane Eyre,8.2,"Misterio, Intriga, Investigación","Título real de Charlotte Brontë, Michael Mason. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
44,The Notebook,8.12,"Ficción, Narrativa contemporánea",Obra de Nicholas Sparks incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
45,Life of Pi,7.76,"Narrativa, Literatura popular",Libro real firmado por Yann Martel. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
46,Water for Elephants,8.14,"Narrativa, Ficción de género",Obra real de Sara Gruen. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
47,The Book Thief,8.72,"Ficción, Narrativa contemporánea","Libro real de Markus Zusak, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
48,Fahrenheit 451,7.94,"Narrativa, Literatura popular","Título real de Ray Bradbury. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
49,"New Moon (Twilight, #2)",7.04,"Crimen, Misterio, Suspense",Obra de Stephenie Meyer incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
50,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,8.58,"Terror, Suspense, Drama",Libro real firmado por Shel Silverstein. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
51,City of Bones,8.24,"Misterio, Intriga, Investigación",Obra real de Cassandra Clare. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
52,Eclipse,7.38,"Fantasía, Aventura, Imaginación","Libro real de Stephenie Meyer, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
53,Eragon,7.72,"Ficción, Narrativa contemporánea","Título real de Christopher Paolini. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
54,The Hitchhiker's Guide to the Galaxy,8.4,"Ciencia ficción, Distopía, Especulación",Obra de Douglas Adams incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
55,Brave New World,7.94,"Memoria, Biografía, Testimonio",Libro real firmado por Aldous Huxley. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
56,Breaking Dawn,7.4,"Clásico, Ensayo, Cultura general",Obra real de Stephenie Meyer. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
57,The Secret Life of Bees,8.02,"Ficción, Narrativa contemporánea","Libro real de Sue Monk Kidd, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
58,The Adventures of Huckleberry Finn,7.6,"Narrativa, Literatura popular","Título real de Mark Twain, John Seelye, Guy Cardwell. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
59,Charlotte's Web,8.3,"Crimen, Misterio, Suspense","Obra de E.B. White, Garth Williams, Rosemary Wells incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas."
60,The Curious Incident of the Dog in the Night-Time,7.7,"Terror, Suspense, Drama",Libro real firmado por Mark Haddon. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
61,The Girl on the Train,7.76,"Misterio, Intriga, Investigación",Obra real de Paula Hawkins. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
62,Northern Lights,7.88,"Fantasía, Aventura, Imaginación","Libro real de Philip Pullman, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
63,Wuthering Heights,7.64,"Ficción, Narrativa contemporánea","Título real de Emily Brontë, Richard J. Dunn. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
64,My Sister's Keeper,8.12,"Ciencia ficción, Distopía, Especulación",Obra de Jodi Picoult incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
65,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death",8.12,"Memoria, Biografía, Testimonio",Libro real firmado por Kurt Vonnegut Jr.. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
66,Gone with the Wind,8.56,"Clásico, Ensayo, Cultura general",Obra real de Margaret Mitchell. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
67,A Thousand Splendid Suns,8.68,"Narrativa, Literatura popular","Libro real de Khaled Hosseini, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
68,The Perks of Being a Wallflower,8.42,"Memoria, Biografía, Testimonio","Título real de Stephen Chbosky. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
69,Insurgent,8.14,"Terror, Suspense, Drama",Obra de Veronica Roth incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
70,Ender's Game,8.6,"Narrativa, Literatura popular",Libro real firmado por Orson Scott Card. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
71,"Frankenstein; or, The Modern Prometheus",7.5,"Misterio, Intriga, Investigación","Obra real de Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación."
72,The Shining,8.34,"Ficción, Narrativa contemporánea","Libro real de Stephen King, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
73,The Host,7.68,"Narrativa, Literatura popular","Título real de Stephenie Meyer. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
74,Looking for Alaska,8.18,"Narrativa, Ficción de género",Obra de John Green incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
75,Bridget Jones's Diary,7.5,"Ficción, Narrativa contemporánea",Libro real firmado por Helen Fielding. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
76,Sense and Sensibility,8.12,"Narrativa, Literatura popular","Obra real de Jane Austen, Tony Tanner, Ros Ballaster. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación."
77,Holes,7.86,"Crimen, Misterio, Suspense","Libro real de Louis Sachar, Louis Sachar, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
78,The Devil Wears Prada,7.4,"Terror, Suspense, Drama","Título real de Lauren Weisberger. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
79,The Odyssey,7.46,"Misterio, Intriga, Investigación","Obra de Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas."
80,Le Petit Prince,8.56,"Fantasía, Aventura, Imaginación","Libro real firmado por Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector."
81,The Glass Castle,8.48,"Ficción, Narrativa contemporánea",Obra real de Jeannette Walls. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
82,Into the Wild,7.88,"Ciencia ficción, Distopía, Especulación","Libro real de Jon Krakauer, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
83,A Tale of Two Cities,7.62,"Memoria, Biografía, Testimonio","Título real de Charles Dickens, Richard Maxwell, Hablot Knight Browne. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
84,Jurassic Park,7.92,"Clásico, Ensayo, Cultura general",Obra de Michael Crichton incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
85,The Giving Tree,8.76,"Ficción, Narrativa contemporánea",Libro real firmado por Shel Silverstein. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
86,A Time to Kill,8.06,"Narrativa, Literatura popular",Obra real de John Grisham. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
87,Un di Velt Hot Geshvign,8.6,"Crimen, Misterio, Suspense","Libro real de Elie Wiesel, Marion Wiesel, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
88,Paper Towns,7.76,"Terror, Suspense, Drama","Título real de John Green. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
89,The Princess Bride,8.5,"Misterio, Intriga, Investigación",Obra de William Goldman incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
90,The Outsiders,8.12,"Fantasía, Aventura, Imaginación",Libro real firmado por S.E. Hinton. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
91,The Maze Runner,8.04,"Ficción, Narrativa contemporánea",Obra real de James Dashner. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,7.86,"Ciencia ficción, Distopía, Especulación","Libro real de Steven D. Levitt, Stephen J. Dubner, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
93,The Secret Garden,8.24,"Memoria, Biografía, Testimonio","Título real de Frances Hodgson Burnett. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
94,Cien años de soledad,8.08,"Clásico, Ensayo, Cultura general","Obra de Gabriel García Márquez, Gregory Rabassa incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas."
95,The Picture of Dorian Gray,8.12,"Narrativa, Literatura popular","Libro real firmado por Oscar Wilde, Jeffrey Eugenides. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector."
96,Fifty Shades Freed,7.76,"Memoria, Biografía, Testimonio",Obra real de E.L. James. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
97,Dracula,7.96,"Terror, Suspense, Drama","Libro real de Bram Stoker, Nina Auerbach, David J. Skal, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
98,Flickan som lekte med elden,8.44,"Narrativa, Literatura popular","Título real de Stieg Larsson, Reg Keeland. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
99,Fifty Shades Darker,7.74,"Misterio, Intriga, Investigación",Obra de E.L. James incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
100,The Poisonwood Bible,8.04,"Ficción, Narrativa contemporánea",Libro real firmado por Barbara Kingsolver. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
101,Me Talk Pretty One Day,7.94,"Narrativa, Literatura popular",Obra real de David Sedaris. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
102,Where the Wild Things Are,8.44,"Narrativa, Ficción de género","Libro real de Maurice Sendak, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
103,Le Comte de Monte-Cristo,8.42,"Ficción, Narrativa contemporánea","Título real de Alexandre Dumas, Robin Buss. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
104,The Road,7.9,"Narrativa, Literatura popular",Obra de Cormac McCarthy incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
105,Allegiant,7.26,"Crimen, Misterio, Suspense",Libro real firmado por Veronica Roth. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
106,Bossypants,7.88,"Terror, Suspense, Drama",Obra real de Tina Fey. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
107,A Walk to Remember,8.3,"Misterio, Intriga, Investigación","Libro real de Nicholas Sparks, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
108,Confessions of a Shopaholic,7.22,"Fantasía, Aventura, Imaginación","Título real de Sophie Kinsella. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
109,Les Misérables,8.28,"Ficción, Narrativa contemporánea","Obra de Victor Hugo, Lee Fahnestock, Norman MacAfee incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas."
110,A Clash of Kings,8.8,"Ciencia ficción, Distopía, Especulación",Libro real firmado por George R.R. Martin. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
111,The Memory Keeper's Daughter,7.28,"Memoria, Biografía, Testimonio",Obra real de Kim Edwards. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
112,Me Before You,8.54,"Clásico, Ensayo, Cultura general","Libro real de Jojo Moyes, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
113,Catch-22,7.96,"Ficción, Narrativa contemporánea","Título real de Joseph Heller. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
114,Tuesdays with Morrie,8.12,"Narrativa, Literatura popular","Obra de Mitch Albom, Saulius Dagys incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas."
115,Middlesex,7.96,"Crimen, Misterio, Suspense",Libro real firmado por Jeffrey Eugenides. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
116,The Adventures of Tom Sawyer,7.78,"Terror, Suspense, Drama","Obra real de Mark Twain, Guy Cardwell, John Seelye. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación."
117,A Wrinkle in Time,8.08,"Misterio, Intriga, Investigación","Libro real de Madeleine L'Engle, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
118,The Joy Luck Club,7.8,"Fantasía, Aventura, Imaginación","Título real de Amy Tan. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
119,The Handmaid's Tale,8.12,"Ficción, Narrativa contemporánea",Obra de Margaret Atwood incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
120,The Sisterhood of the Traveling Pants,7.5,"Ciencia ficción, Distopía, Especulación",Libro real firmado por Ann Brashares. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
121,Lolita,7.76,"Memoria, Biografía, Testimonio","Obra real de Vladimir Nabokov, Craig Raine. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación."
122,Wicked: The Life and Times of the Wicked Witch of the West,7.04,"Clásico, Ensayo, Cultura general","Libro real de Gregory Maguire, Douglas Smith, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
123,The Firm,7.98,"Narrativa, Literatura popular","Título real de John Grisham. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
124,Room,8.06,"Memoria, Biografía, Testimonio",Obra de Emma Donoghue incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
125,"The Tragicall Historie of Hamlet, Prince of Denmark",8.0,"Terror, Suspense, Drama","Libro real firmado por William Shakespeare, Richard Andrews, Rex Gibson. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector."
126,Dune,8.38,"Narrativa, Literatura popular",Obra real de Frank Herbert. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
127,The Tipping Point: How Little Things Can Make a Big Difference,7.84,"Misterio, Intriga, Investigación","Libro real de Malcolm Gladwell, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
128,Steve Jobs,8.18,"Ficción, Narrativa contemporánea","Título real de Walter Isaacson. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
129,One Flew Over the Cuckoo's Nest,8.36,"Narrativa, Literatura popular",Obra de Ken Kesey incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
130,The Old Man and the Sea,7.46,"Narrativa, Ficción de género",Libro real firmado por Ernest Hemingway. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
131,The Grapes of Wrath,7.84,"Ficción, Narrativa contemporánea",Obra real de John Steinbeck. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
132,The Five People You Meet in Heaven,7.8,"Narrativa, Literatura popular","Libro real de Mitch Albom, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
133,Anne of Green Gables,8.46,"Crimen, Misterio, Suspense","Título real de L.M. Montgomery. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
134,City of Glass,8.68,"Terror, Suspense, Drama",Obra de Cassandra Clare incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
135,A Storm of Swords,9.08,"Misterio, Intriga, Investigación",Libro real firmado por George R.R. Martin. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
136,Divine Secrets of the Ya-Ya Sisterhood,7.58,"Fantasía, Aventura, Imaginación",Obra real de Rebecca Wells. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
137,Outlander,8.4,"Ficción, Narrativa contemporánea","Libro real de Diana Gabaldon, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
138,The Scarlet Letter,6.74,"Ciencia ficción, Distopía, Especulación","Título real de Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
139,Miss Peregrineâ€™s Home for Peculiar Children,7.78,"Memoria, Biografía, Testimonio",Obra de Ransom Riggs incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
140,Luftslottet som sprängdes,8.4,"Clásico, Ensayo, Cultura general","Libro real firmado por Stieg Larsson, Reg Keeland. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector."
141,The Martian,8.78,"Ficción, Narrativa contemporánea",Obra real de Andy Weir. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
142,The Pillars of the Earth,8.58,"Narrativa, Literatura popular","Libro real de Ken Follett, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
143,All the Light We Cannot See,8.62,"Crimen, Misterio, Suspense","Título real de Anthony Doerr. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",8.8,"Terror, Suspense, Drama",Obra de Laura Hillenbrand incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
145,Deception Point,7.34,"Misterio, Intriga, Investigación",Libro real firmado por Dan Brown. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
146,The Goldfinch,7.74,"Fantasía, Aventura, Imaginación",Obra real de Donna Tartt. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
147,Thirteen Reasons Why,8.04,"Ficción, Narrativa contemporánea","Libro real de Jay Asher, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
148,Girl with a Pearl Earring,7.7,"Ciencia ficción, Distopía, Especulación","Título real de Tracy Chevalier. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
149,If I Stay,7.92,"Memoria, Biografía, Testimonio",Obra de Gayle Forman incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
150,The Red Tent,8.32,"Clásico, Ensayo, Cultura general",Libro real firmado por Anita Diamant. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
151,The Sea of Monsters,8.46,"Narrativa, Literatura popular",Obra real de Rick Riordan. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
152,Dear John,8.02,"Memoria, Biografía, Testimonio","Libro real de Nicholas Sparks, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
153,City of Ashes,8.42,"Terror, Suspense, Drama","Título real de Cassandra Clare. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
154,The Tragedy of Macbeth,7.76,"Narrativa, Literatura popular",Obra de William Shakespeare incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
155,The Two Towers,8.84,"Misterio, Intriga, Investigación",Libro real firmado por J.R.R. Tolkien. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
156,Something Borrowed,7.66,"Ficción, Narrativa contemporánea",Obra real de Emily Giffin. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
157,Green Eggs and Ham,8.58,"Narrativa, Literatura popular","Libro real de Dr. Seuss, ×œ××” × ××•×¨, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
158,Charlie and the Chocolate Factory,8.2,"Narrativa, Ficción de género","Título real de Roald Dahl, Quentin Blake. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
159,The Battle of the Labyrinth,8.78,"Ficción, Narrativa contemporánea",Obra de Rick Riordan incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
160,Great Expectations,7.5,"Narrativa, Literatura popular",Libro real firmado por Charles Dickens. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
161,The Return of the King,9.02,"Crimen, Misterio, Suspense",Obra real de J.R.R. Tolkien. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
162,The Stranger,7.92,"Terror, Suspense, Drama","Libro real de Albert Camus, Matthew Ward, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
163,The Lost Hero,8.7,"Misterio, Intriga, Investigación","Título real de Rick Riordan. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
